0,1,2,3,4,5,6
11200,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
11300,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
11400,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
11500,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
11600,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
11700,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
11800,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
11900,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
12000,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
12100,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
12200,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
12300,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
12400,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
12500,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
12600,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
12700,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
12800,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
12900,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
13000,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
13100,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
13200,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
13300,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
13400,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
13500,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
13600,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
13700,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
13800,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
13900,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
14000,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
14100,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
14200,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
14300,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
14400,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
14500,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
14600,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
14700,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
14800,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
14900,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
15000,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
15100,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
15200,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
15300,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
15400,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
15500,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
15600,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
15700,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
15800,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
15900,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
16000,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
16100,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
16200,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
16300,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
16400,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
16500,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
16600,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
16700,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
16800,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
16900,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
17000,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
17100,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
17200,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
17300,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
17400,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
17500,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
17600,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
17700,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
17800,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
17900,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
18000,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
18100,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
18200,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
18300,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
18400,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
18500,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
18600,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
18700,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
18800,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
18900,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
19000,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
19100,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
19200,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
19300,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
19400,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
19500,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
19600,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
19700,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
19800,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
19900,15000-19999,10000-19999,0-29999,0-59999,0-119999,*
20000,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
20100,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
20200,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
20300,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
20400,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
20500,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
20600,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
20700,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
20800,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
20900,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
21000,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
21100,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
21200,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
21300,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
21400,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
21500,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
21600,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
21700,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
21800,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
21900,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
22000,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
22100,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
22200,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
22300,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
22400,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
22500,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
22600,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
22700,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
22800,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
22900,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
23000,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
23100,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
23200,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
23300,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
23400,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
23500,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
23600,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
23700,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
23800,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
23900,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
24000,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
24100,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
24200,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
24300,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
24400,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
24500,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
24600,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
24700,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
24800,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
24900,20000-24999,20000-29999,0-29999,0-59999,0-119999,*
25000,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
25100,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
25200,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
25300,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
25400,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
25500,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
25600,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
25700,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
25800,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
25900,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
26000,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
26100,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
26200,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
26300,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
26400,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
26500,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
26600,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
26700,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
26800,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
26900,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
27000,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
27100,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
27200,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
27300,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
27400,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
27500,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
27600,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
27700,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
27800,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
27900,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
28000,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
28100,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
28200,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
28300,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
28400,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
28500,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
28600,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
28700,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
28800,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
28900,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
29000,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
29100,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
29200,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
29300,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
29400,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
29500,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
29600,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
29700,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
29800,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
29900,25000-29999,20000-29999,0-29999,0-59999,0-119999,*
30000,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
30100,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
30200,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
30300,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
30400,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
30500,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
30600,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
30700,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
30800,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
30900,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
31000,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
31100,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
31200,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
31300,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
31400,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
31500,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
31600,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
31700,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
31800,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
31900,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
32000,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
32100,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
32200,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
32300,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
32400,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
32500,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
32600,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
32700,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
32800,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
32900,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
33000,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
33100,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
33200,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
33300,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
33400,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
33500,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
33600,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
33700,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
33800,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
33900,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
34000,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
34100,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
34200,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
34300,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
34400,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
34500,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
34600,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
34700,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
34800,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
34900,30000-34999,30000-39999,30000-59999,0-59999,0-119999,*
35000,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
35100,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
35200,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
35300,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
35400,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
35500,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
35600,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
35700,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
35800,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
35900,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
36000,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
36100,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
36200,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
36300,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
36400,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
36500,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
36600,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
36700,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
36800,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
36900,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
37000,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
37100,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
37200,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
37300,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
37400,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
37500,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
37600,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
37700,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
37800,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
37900,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
38000,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
38100,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
38200,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
38300,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
38400,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
38500,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
38600,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
38700,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
38800,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
38900,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
39000,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
39100,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
39200,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
39300,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
39400,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
39500,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
39600,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
39700,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
39800,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
39900,35000-39999,30000-39999,30000-59999,0-59999,0-119999,*
40000,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
40100,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
40200,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
40300,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
40400,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
40500,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
40600,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
40700,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
40800,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
40900,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
41000,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
41100,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
41200,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
41300,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
41400,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
41500,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
41600,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
41700,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
41800,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
41900,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
42000,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
42100,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
42200,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
42300,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
42400,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
42500,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
42600,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
42700,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
42800,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
42900,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
43000,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
43100,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
43200,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
43300,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
43400,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
43500,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
43600,40000-44999,40000-49999,30000-59999,0-59999,0-119999,*
