0,1,2,3,4,5
1090,1000-1249,1000-1499,1000-1999,0-1999,*
1100,1000-1249,1000-1499,1000-1999,0-1999,*
1110,1000-1249,1000-1499,1000-1999,0-1999,*
1120,1000-1249,1000-1499,1000-1999,0-1999,*
1130,1000-1249,1000-1499,1000-1999,0-1999,*
1140,1000-1249,1000-1499,1000-1999,0-1999,*
1150,1000-1249,1000-1499,1000-1999,0-1999,*
1160,1000-1249,1000-1499,1000-1999,0-1999,*
1170,1000-1249,1000-1499,1000-1999,0-1999,*
1180,1000-1249,1000-1499,1000-1999,0-1999,*
1190,1000-1249,1000-1499,1000-1999,0-1999,*
1200,1000-1249,1000-1499,1000-1999,0-1999,*
1210,1000-1249,1000-1499,1000-1999,0-1999,*
1220,1000-1249,1000-1499,1000-1999,0-1999,*
1230,1000-1249,1000-1499,1000-1999,0-1999,*
1240,1000-1249,1000-1499,1000-1999,0-1999,*
1250,1250-1499,1000-1499,1000-1999,0-1999,*
1260,1250-1499,1000-1499,1000-1999,0-1999,*
1270,1250-1499,1000-1499,1000-1999,0-1999,*
1280,1250-1499,1000-1499,1000-1999,0-1999,*
1290,1250-1499,1000-1499,1000-1999,0-1999,*
1300,1250-1499,1000-1499,1000-1999,0-1999,*
1310,1250-1499,1000-1499,1000-1999,0-1999,*
1320,1250-1499,1000-1499,1000-1999,0-1999,*
1330,1250-1499,1000-1499,1000-1999,0-1999,*
1340,1250-1499,1000-1499,1000-1999,0-1999,*
1350,1250-1499,1000-1499,1000-1999,0-1999,*
1360,1250-1499,1000-1499,1000-1999,0-1999,*
1370,1250-1499,1000-1499,1000-1999,0-1999,*
1380,1250-1499,1000-1499,1000-1999,0-1999,*
1390,1250-1499,1000-1499,1000-1999,0-1999,*
1400,1250-1499,1000-1499,1000-1999,0-1999,*
1410,1250-1499,1000-1499,1000-1999,0-1999,*
1420,1250-1499,1000-1499,1000-1999,0-1999,*
1430,1250-1499,1000-1499,1000-1999,0-1999,*
1440,1250-1499,1000-1499,1000-1999,0-1999,*
1450,1250-1499,1000-1499,1000-1999,0-1999,*
1460,1250-1499,1000-1499,1000-1999,0-1999,*
1470,1250-1499,1000-1499,1000-1999,0-1999,*
1480,1250-1499,1000-1499,1000-1999,0-1999,*
1490,1250-1499,1000-1499,1000-1999,0-1999,*
1500,1500-1749,1500-1999,1000-1999,0-1999,*
1510,1500-1749,1500-1999,1000-1999,0-1999,*
1520,1500-1749,1500-1999,1000-1999,0-1999,*
1530,1500-1749,1500-1999,1000-1999,0-1999,*
1540,1500-1749,1500-1999,1000-1999,0-1999,*
1550,1500-1749,1500-1999,1000-1999,0-1999,*
1560,1500-1749,1500-1999,1000-1999,0-1999,*
1570,1500-1749,1500-1999,1000-1999,0-1999,*
1580,1500-1749,1500-1999,1000-1999,0-1999,*
1590,1500-1749,1500-1999,1000-1999,0-1999,*
1600,1500-1749,1500-1999,1000-1999,0-1999,*
1610,1500-1749,1500-1999,1000-1999,0-1999,*
1620,1500-1749,1500-1999,1000-1999,0-1999,*
1630,1500-1749,1500-1999,1000-1999,0-1999,*
1640,1500-1749,1500-1999,1000-1999,0-1999,*
1650,1500-1749,1500-1999,1000-1999,0-1999,*
1660,1500-1749,1500-1999,1000-1999,0-1999,*
1670,1500-1749,1500-1999,1000-1999,0-1999,*
1680,1500-1749,1500-1999,1000-1999,0-1999,*
1690,1500-1749,1500-1999,1000-1999,0-1999,*
1700,1500-1749,1500-1999,1000-1999,0-1999,*
1710,1500-1749,1500-1999,1000-1999,0-1999,*
1720,1500-1749,1500-1999,1000-1999,0-1999,*
1730,1500-1749,1500-1999,1000-1999,0-1999,*
1740,1500-1749,1500-1999,1000-1999,0-1999,*
1750,1750-1999,1500-1999,1000-1999,0-1999,*
1760,1750-1999,1500-1999,1000-1999,0-1999,*
1770,1750-1999,1500-1999,1000-1999,0-1999,*
1780,1750-1999,1500-1999,1000-1999,0-1999,*
1790,1750-1999,1500-1999,1000-1999,0-1999,*
1800,1750-1999,1500-1999,1000-1999,0-1999,*
1810,1750-1999,1500-1999,1000-1999,0-1999,*
1820,1750-1999,1500-1999,1000-1999,0-1999,*
1830,1750-1999,1500-1999,1000-1999,0-1999,*
1840,1750-1999,1500-1999,1000-1999,0-1999,*
1850,1750-1999,1500-1999,1000-1999,0-1999,*
1860,1750-1999,1500-1999,1000-1999,0-1999,*
1870,1750-1999,1500-1999,1000-1999,0-1999,*
1880,1750-1999,1500-1999,1000-1999,0-1999,*
1890,1750-1999,1500-1999,1000-1999,0-1999,*
1900,1750-1999,1500-1999,1000-1999,0-1999,*
1910,1750-1999,1500-1999,1000-1999,0-1999,*
1920,1750-1999,1500-1999,1000-1999,0-1999,*
1930,1750-1999,1500-1999,1000-1999,0-1999,*
1940,1750-1999,1500-1999,1000-1999,0-1999,*
1950,1750-1999,1500-1999,1000-1999,0-1999,*
1960,1750-1999,1500-1999,1000-1999,0-1999,*
1970,1750-1999,1500-1999,1000-1999,0-1999,*
1980,1750-1999,1500-1999,1000-1999,0-1999,*
1990,1750-1999,1500-1999,1000-1999,0-1999,*
2000,2000-2249,2000-2499,2000-2999,2000-3999,*
2010,2000-2249,2000-2499,2000-2999,2000-3999,*
2020,2000-2249,2000-2499,2000-2999,2000-3999,*
2030,2000-2249,2000-2499,2000-2999,2000-3999,*
2040,2000-2249,2000-2499,2000-2999,2000-3999,*
2050,2000-2249,2000-2499,2000-2999,2000-3999,*
2060,2000-2249,2000-2499,2000-2999,2000-3999,*
2070,2000-2249,2000-2499,2000-2999,2000-3999,*
2080,2000-2249,2000-2499,2000-2999,2000-3999,*
2090,2000-2249,2000-2499,2000-2999,2000-3999,*
2100,2000-2249,2000-2499,2000-2999,2000-3999,*
2110,2000-2249,2000-2499,2000-2999,2000-3999,*
2120,2000-2249,2000-2499,2000-2999,2000-3999,*
2130,2000-2249,2000-2499,2000-2999,2000-3999,*
2140,2000-2249,2000-2499,2000-2999,2000-3999,*
2150,2000-2249,2000-2499,2000-2999,2000-3999,*
2160,2000-2249,2000-2499,2000-2999,2000-3999,*
2170,2000-2249,2000-2499,2000-2999,2000-3999,*
2180,2000-2249,2000-2499,2000-2999,2000-3999,*
2190,2000-2249,2000-2499,2000-2999,2000-3999,*
2200,2000-2249,2000-2499,2000-2999,2000-3999,*
2210,2000-2249,2000-2499,2000-2999,2000-3999,*
2220,2000-2249,2000-2499,2000-2999,2000-3999,*
2230,2000-2249,2000-2499,2000-2999,2000-3999,*
2240,2000-2249,2000-2499,2000-2999,2000-3999,*
2250,2250-2499,2000-2499,2000-2999,2000-3999,*
2260,2250-2499,2000-2499,2000-2999,2000-3999,*
2270,2250-2499,2000-2499,2000-2999,2000-3999,*
2280,2250-2499,2000-2499,2000-2999,2000-3999,*
2290,2250-2499,2000-2499,2000-2999,2000-3999,*
2300,2250-2499,2000-2499,2000-2999,2000-3999,*
2310,2250-2499,2000-2499,2000-2999,2000-3999,*
2320,2250-2499,2000-2499,2000-2999,2000-3999,*
2330,2250-2499,2000-2499,2000-2999,2000-3999,*
2340,2250-2499,2000-2499,2000-2999,2000-3999,*
2350,2250-2499,2000-2499,2000-2999,2000-3999,*
2360,2250-2499,2000-2499,2000-2999,2000-3999,*
2370,2250-2499,2000-2499,2000-2999,2000-3999,*
2380,2250-2499,2000-2499,2000-2999,2000-3999,*
2390,2250-2499,2000-2499,2000-2999,2000-3999,*
2400,2250-2499,2000-2499,2000-2999,2000-3999,*
2410,2250-2499,2000-2499,2000-2999,2000-3999,*
2420,2250-2499,2000-2499,2000-2999,2000-3999,*
2430,2250-2499,2000-2499,2000-2999,2000-3999,*
2440,2250-2499,2000-2499,2000-2999,2000-3999,*
2450,2250-2499,2000-2499,2000-2999,2000-3999,*
2460,2250-2499,2000-2499,2000-2999,2000-3999,*
2470,2250-2499,2000-2499,2000-2999,2000-3999,*
2480,2250-2499,2000-2499,2000-2999,2000-3999,*
2490,2250-2499,2000-2499,2000-2999,2000-3999,*
2500,2500-2749,2500-2999,2000-2999,2000-3999,*
2510,2500-2749,2500-2999,2000-2999,2000-3999,*
2520,2500-2749,2500-2999,2000-2999,2000-3999,*
2530,2500-2749,2500-2999,2000-2999,2000-3999,*
2540,2500-2749,2500-2999,2000-2999,2000-3999,*
2550,2500-2749,2500-2999,2000-2999,2000-3999,*
2560,2500-2749,2500-2999,2000-2999,2000-3999,*
2570,2500-2749,2500-2999,2000-2999,2000-3999,*
2580,2500-2749,2500-2999,2000-2999,2000-3999,*
2590,2500-2749,2500-2999,2000-2999,2000-3999,*
2600,2500-2749,2500-2999,2000-2999,2000-3999,*
2610,2500-2749,2500-2999,2000-2999,2000-3999,*
2620,2500-2749,2500-2999,2000-2999,2000-3999,*
2630,2500-2749,2500-2999,2000-2999,2000-3999,*
2640,2500-2749,2500-2999,2000-2999,2000-3999,*
2650,2500-2749,2500-2999,2000-2999,2000-3999,*
2660,2500-2749,2500-2999,2000-2999,2000-3999,*
2670,2500-2749,2500-2999,2000-2999,2000-3999,*
2680,2500-2749,2500-2999,2000-2999,2000-3999,*
2690,2500-2749,2500-2999,2000-2999,2000-3999,*
2700,2500-2749,2500-2999,2000-2999,2000-3999,*
2710,2500-2749,2500-2999,2000-2999,2000-3999,*
2720,2500-2749,2500-2999,2000-2999,2000-3999,*
2730,2500-2749,2500-2999,2000-2999,2000-3999,*
2740,2500-2749,2500-2999,2000-2999,2000-3999,*
2750,2750-2999,2500-2999,2000-2999,2000-3999,*
2760,2750-2999,2500-2999,2000-2999,2000-3999,*
2770,2750-2999,2500-2999,2000-2999,2000-3999,*
2780,2750-2999,2500-2999,2000-2999,2000-3999,*
2790,2750-2999,2500-2999,2000-2999,2000-3999,*
2800,2750-2999,2500-2999,2000-2999,2000-3999,*
2810,2750-2999,2500-2999,2000-2999,2000-3999,*
2820,2750-2999,2500-2999,2000-2999,2000-3999,*
2830,2750-2999,2500-2999,2000-2999,2000-3999,*
2840,2750-2999,2500-2999,2000-2999,2000-3999,*
2850,2750-2999,2500-2999,2000-2999,2000-3999,*
2860,2750-2999,2500-2999,2000-2999,2000-3999,*
2870,2750-2999,2500-2999,2000-2999,2000-3999,*
2880,2750-2999,2500-2999,2000-2999,2000-3999,*
2890,2750-2999,2500-2999,2000-2999,2000-3999,*
2900,2750-2999,2500-2999,2000-2999,2000-3999,*
2910,2750-2999,2500-2999,2000-2999,2000-3999,*
2920,2750-2999,2500-2999,2000-2999,2000-3999,*
2930,2750-2999,2500-2999,2000-2999,2000-3999,*
2940,2750-2999,2500-2999,2000-2999,2000-3999,*
2950,2750-2999,2500-2999,2000-2999,2000-3999,*
2960,2750-2999,2500-2999,2000-2999,2000-3999,*
2970,2750-2999,2500-2999,2000-2999,2000-3999,*
2980,2750-2999,2500-2999,2000-2999,2000-3999,*
2990,2750-2999,2500-2999,2000-2999,2000-3999,*
3000,3000-3249,3000-3499,3000-3999,2000-3999,*
3010,3000-3249,3000-3499,3000-3999,2000-3999,*
3020,3000-3249,3000-3499,3000-3999,2000-3999,*
3030,3000-3249,3000-3499,3000-3999,2000-3999,*
3040,3000-3249,3000-3499,3000-3999,2000-3999,*
3050,3000-3249,3000-3499,3000-3999,2000-3999,*
3060,3000-3249,3000-3499,3000-3999,2000-3999,*
3070,3000-3249,3000-3499,3000-3999,2000-3999,*
3080,3000-3249,3000-3499,3000-3999,2000-3999,*
3090,3000-3249,3000-3499,3000-3999,2000-3999,*
3100,3000-3249,3000-3499,3000-3999,2000-3999,*
3110,3000-3249,3000-3499,3000-3999,2000-3999,*
3120,3000-3249,3000-3499,3000-3999,2000-3999,*
3130,3000-3249,3000-3499,3000-3999,2000-3999,*
3140,3000-3249,3000-3499,3000-3999,2000-3999,*
3150,3000-3249,3000-3499,3000-3999,2000-3999,*
3160,3000-3249,3000-3499,3000-3999,2000-3999,*
3170,3000-3249,3000-3499,3000-3999,2000-3999,*
3180,3000-3249,3000-3499,3000-3999,2000-3999,*
3190,3000-3249,3000-3499,3000-3999,2000-3999,*
3200,3000-3249,3000-3499,3000-3999,2000-3999,*
3210,3000-3249,3000-3499,3000-3999,2000-3999,*
3220,3000-3249,3000-3499,3000-3999,2000-3999,*
3230,3000-3249,3000-3499,3000-3999,2000-3999,*
3240,3000-3249,3000-3499,3000-3999,2000-3999,*
3250,3250-3499,3000-3499,3000-3999,2000-3999,*
3260,3250-3499,3000-3499,3000-3999,2000-3999,*
3270,3250-3499,3000-3499,3000-3999,2000-3999,*
3280,3250-3499,3000-3499,3000-3999,2000-3999,*
3290,3250-3499,3000-3499,3000-3999,2000-3999,*
3300,3250-3499,3000-3499,3000-3999,2000-3999,*
3310,3250-3499,3000-3499,3000-3999,2000-3999,*
3320,3250-3499,3000-3499,3000-3999,2000-3999,*
3330,3250-3499,3000-3499,3000-3999,2000-3999,*
3340,3250-3499,3000-3499,3000-3999,2000-3999,*
3350,3250-3499,3000-3499,3000-3999,2000-3999,*
3360,3250-3499,3000-3499,3000-3999,2000-3999,*
3370,3250-3499,3000-3499,3000-3999,2000-3999,*
3380,3250-3499,3000-3499,3000-3999,2000-3999,*
3390,3250-3499,3000-3499,3000-3999,2000-3999,*
3400,3250-3499,3000-3499,3000-3999,2000-3999,*
3410,3250-3499,3000-3499,3000-3999,2000-3999,*
3420,3250-3499,3000-3499,3000-3999,2000-3999,*
3430,3250-3499,3000-3499,3000-3999,2000-3999,*
3440,3250-3499,3000-3499,3000-3999,2000-3999,*
3450,3250-3499,3000-3499,3000-3999,2000-3999,*
3460,3250-3499,3000-3499,3000-3999,2000-3999,*
3470,3250-3499,3000-3499,3000-3999,2000-3999,*
3480,3250-3499,3000-3499,3000-3999,2000-3999,*
3490,3250-3499,3000-3499,3000-3999,2000-3999,*
3500,3500-3749,3500-3999,3000-3999,2000-3999,*
3510,3500-3749,3500-3999,3000-3999,2000-3999,*
3520,3500-3749,3500-3999,3000-3999,2000-3999,*
3530,3500-3749,3500-3999,3000-3999,2000-3999,*
3540,3500-3749,3500-3999,3000-3999,2000-3999,*
3550,3500-3749,3500-3999,3000-3999,2000-3999,*
3560,3500-3749,3500-3999,3000-3999,2000-3999,*
3570,3500-3749,3500-3999,3000-3999,2000-3999,*
3580,3500-3749,3500-3999,3000-3999,2000-3999,*
3590,3500-3749,3500-3999,3000-3999,2000-3999,*
3600,3500-3749,3500-3999,3000-3999,2000-3999,*
3610,3500-3749,3500-3999,3000-3999,2000-3999,*
3620,3500-3749,3500-3999,3000-3999,2000-3999,*
3630,3500-3749,3500-3999,3000-3999,2000-3999,*
3640,3500-3749,3500-3999,3000-3999,2000-3999,*
3650,3500-3749,3500-3999,3000-3999,2000-3999,*
3660,3500-3749,3500-3999,3000-3999,2000-3999,*
3670,3500-3749,3500-3999,3000-3999,2000-3999,*
3680,3500-3749,3500-3999,3000-3999,2000-3999,*
3690,3500-3749,3500-3999,3000-3999,2000-3999,*
3700,3500-3749,3500-3999,3000-3999,2000-3999,*
3710,3500-3749,3500-3999,3000-3999,2000-3999,*
3720,3500-3749,3500-3999,3000-3999,2000-3999,*
3730,3500-3749,3500-3999,3000-3999,2000-3999,*
3740,3500-3749,3500-3999,3000-3999,2000-3999,*
3750,3750-3999,3500-3999,3000-3999,2000-3999,*
3760,3750-3999,3500-3999,3000-3999,2000-3999,*
3770,3750-3999,3500-3999,3000-3999,2000-3999,*
3780,3750-3999,3500-3999,3000-3999,2000-3999,*
3790,3750-3999,3500-3999,3000-3999,2000-3999,*
3800,3750-3999,3500-3999,3000-3999,2000-3999,*
3810,3750-3999,3500-3999,3000-3999,2000-3999,*
3820,3750-3999,3500-3999,3000-3999,2000-3999,*
3830,3750-3999,3500-3999,3000-3999,2000-3999,*
3840,3750-3999,3500-3999,3000-3999,2000-3999,*
3850,3750-3999,3500-3999,3000-3999,2000-3999,*
3860,3750-3999,3500-3999,3000-3999,2000-3999,*
3870,3750-3999,3500-3999,3000-3999,2000-3999,*
3880,3750-3999,3500-3999,3000-3999,2000-3999,*
3890,3750-3999,3500-3999,3000-3999,2000-3999,*
3900,3750-3999,3500-3999,3000-3999,2000-3999,*
3910,3750-3999,3500-3999,3000-3999,2000-3999,*
3920,3750-3999,3500-3999,3000-3999,2000-3999,*
3930,3750-3999,3500-3999,3000-3999,2000-3999,*
3940,3750-3999,3500-3999,3000-3999,2000-3999,*
3950,3750-3999,3500-3999,3000-3999,2000-3999,*
3960,3750-3999,3500-3999,3000-3999,2000-3999,*
3970,3750-3999,3500-3999,3000-3999,2000-3999,*
3980,3750-3999,3500-3999,3000-3999,2000-3999,*
3990,3750-3999,3500-3999,3000-3999,2000-3999,*
4000,4000-4249,4000-4499,4000-4999,4000-5999,*
4010,4000-4249,4000-4499,4000-4999,4000-5999,*
4020,4000-4249,4000-4499,4000-4999,4000-5999,*
4030,4000-4249,4000-4499,4000-4999,4000-5999,*
4040,4000-4249,4000-4499,4000-4999,4000-5999,*
4050,4000-4249,4000-4499,4000-4999,4000-5999,*
4060,4000-4249,4000-4499,4000-4999,4000-5999,*
4070,4000-4249,4000-4499,4000-4999,4000-5999,*
4080,4000-4249,4000-4499,4000-4999,4000-5999,*
4090,4000-4249,4000-4499,4000-4999,4000-5999,*
4100,4000-4249,4000-4499,4000-4999,4000-5999,*
4110,4000-4249,4000-4499,4000-4999,4000-5999,*
4120,4000-4249,4000-4499,4000-4999,4000-5999,*
4130,4000-4249,4000-4499,4000-4999,4000-5999,*
4140,4000-4249,4000-4499,4000-4999,4000-5999,*
4150,4000-4249,4000-4499,4000-4999,4000-5999,*
4160,4000-4249,4000-4499,4000-4999,4000-5999,*
4170,4000-4249,4000-4499,4000-4999,4000-5999,*
4180,4000-4249,4000-4499,4000-4999,4000-5999,*
4190,4000-4249,4000-4499,4000-4999,4000-5999,*
4200,4000-4249,4000-4499,4000-4999,4000-5999,*
4210,4000-4249,4000-4499,4000-4999,4000-5999,*
4220,4000-4249,4000-4499,4000-4999,4000-5999,*
4230,4000-4249,4000-4499,4000-4999,4000-5999,*
4240,4000-4249,4000-4499,4000-4999,4000-5999,*
4250,4250-4499,4000-4499,4000-4999,4000-5999,*
4260,4250-4499,4000-4499,4000-4999,4000-5999,*
4270,4250-4499,4000-4499,4000-4999,4000-5999,*
4280,4250-4499,4000-4499,4000-4999,4000-5999,*
4290,4250-4499,4000-4499,4000-4999,4000-5999,*
4300,4250-4499,4000-4499,4000-4999,4000-5999,*
4310,4250-4499,4000-4499,4000-4999,4000-5999,*
4320,4250-4499,4000-4499,4000-4999,4000-5999,*
4330,4250-4499,4000-4499,4000-4999,4000-5999,*
4340,4250-4499,4000-4499,4000-4999,4000-5999,*
4350,4250-4499,4000-4499,4000-4999,4000-5999,*
4360,4250-4499,4000-4499,4000-4999,4000-5999,*
4370,4250-4499,4000-4499,4000-4999,4000-5999,*
4380,4250-4499,4000-4499,4000-4999,4000-5999,*
4390,4250-4499,4000-4499,4000-4999,4000-5999,*
4400,4250-4499,4000-4499,4000-4999,4000-5999,*
4410,4250-4499,4000-4499,4000-4999,4000-5999,*
4420,4250-4499,4000-4499,4000-4999,4000-5999,*
4430,4250-4499,4000-4499,4000-4999,4000-5999,*
4440,4250-4499,4000-4499,4000-4999,4000-5999,*
4450,4250-4499,4000-4499,4000-4999,4000-5999,*
4460,4250-4499,4000-4499,4000-4999,4000-5999,*
4470,4250-4499,4000-4499,4000-4999,4000-5999,*
4480,4250-4499,4000-4499,4000-4999,4000-5999,*
4490,4250-4499,4000-4499,4000-4999,4000-5999,*
4500,4500-4749,4500-4999,4000-4999,4000-5999,*
4510,4500-4749,4500-4999,4000-4999,4000-5999,*
4520,4500-4749,4500-4999,4000-4999,4000-5999,*
4530,4500-4749,4500-4999,4000-4999,4000-5999,*
4540,4500-4749,4500-4999,4000-4999,4000-5999,*
4550,4500-4749,4500-4999,4000-4999,4000-5999,*
4560,4500-4749,4500-4999,4000-4999,4000-5999,*
4570,4500-4749,4500-4999,4000-4999,4000-5999,*
4580,4500-4749,4500-4999,4000-4999,4000-5999,*
4590,4500-4749,4500-4999,4000-4999,4000-5999,*
4600,4500-4749,4500-4999,4000-4999,4000-5999,*
4610,4500-4749,4500-4999,4000-4999,4000-5999,*
4620,4500-4749,4500-4999,4000-4999,4000-5999,*
4630,4500-4749,4500-4999,4000-4999,4000-5999,*
4640,4500-4749,4500-4999,4000-4999,4000-5999,*
4650,4500-4749,4500-4999,4000-4999,4000-5999,*
4660,4500-4749,4500-4999,4000-4999,4000-5999,*
4670,4500-4749,4500-4999,4000-4999,4000-5999,*
4680,4500-4749,4500-4999,4000-4999,4000-5999,*
4690,4500-4749,4500-4999,4000-4999,4000-5999,*
4700,4500-4749,4500-4999,4000-4999,4000-5999,*
4710,4500-4749,4500-4999,4000-4999,4000-5999,*
4720,4500-4749,4500-4999,4000-4999,4000-5999,*
4730,4500-4749,4500-4999,4000-4999,4000-5999,*
4740,4500-4749,4500-4999,4000-4999,4000-5999,*
4750,4750-4999,4500-4999,4000-4999,4000-5999,*
4760,4750-4999,4500-4999,4000-4999,4000-5999,*
4770,4750-4999,4500-4999,4000-4999,4000-5999,*
4780,4750-4999,4500-4999,4000-4999,4000-5999,*
4790,4750-4999,4500-4999,4000-4999,4000-5999,*
4800,4750-4999,4500-4999,4000-4999,4000-5999,*
4810,4750-4999,4500-4999,4000-4999,4000-5999,*
4820,4750-4999,4500-4999,4000-4999,4000-5999,*
4830,4750-4999,4500-4999,4000-4999,4000-5999,*
4840,4750-4999,4500-4999,4000-4999,4000-5999,*
4850,4750-4999,4500-4999,4000-4999,4000-5999,*
4860,4750-4999,4500-4999,4000-4999,4000-5999,*
4870,4750-4999,4500-4999,4000-4999,4000-5999,*
4880,4750-4999,4500-4999,4000-4999,4000-5999,*
4890,4750-4999,4500-4999,4000-4999,4000-5999,*
4900,4750-4999,4500-4999,4000-4999,4000-5999,*
4910,4750-4999,4500-4999,4000-4999,4000-5999,*
4920,4750-4999,4500-4999,4000-4999,4000-5999,*
4930,4750-4999,4500-4999,4000-4999,4000-5999,*
4940,4750-4999,4500-4999,4000-4999,4000-5999,*
4950,4750-4999,4500-4999,4000-4999,4000-5999,*
4960,4750-4999,4500-4999,4000-4999,4000-5999,*
4970,4750-4999,4500-4999,4000-4999,4000-5999,*
4980,4750-4999,4500-4999,4000-4999,4000-5999,*
4990,4750-4999,4500-4999,4000-4999,4000-5999,*
